PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Fred VanVleet(25764723),Gary Trent Jr.(25765016),Andrew Wiggins(25764736),John Collins(25764866),Johhny (25764556),Cameron Payne(25764791),Aleksej Pokusevski(25765073),Larry Nance Jr.(25765151),49900.0,250.3
Immanuel Quickley(25765089),Seth Curry(25765220),Herbert Jones(25764999),Julius Randle(25764662),Pascal Siakam(25764586),CJ McCollum(25764689),Cameron Johnson(25764877),Chris Paul(25764698),50000.0,243.65
Immanuel Quickley(25765089),OG Anunoby(25764701),Desmond Bane(25764651),Julius Randle(25764662),Myles Turner(25764714),Seth Curry(25765220),Jalen Smith(25764940),Chris Paul(25764698),49800.0,248.22
Dennis Smith Jr.(25764943),Seth Curry(25765220),Paolo Banchero(25764670),Julius Randle(25764662),Clint Capela(25764756),Cade Cunningham(25764676),Lauri Markkanen(25764636),Nick Richards(25765160),50000.0,252.13
Fred VanVleet(25764723),CJ McCollum(25764689),Saddiq Bey(25764926),Pascal Siakam(25764586),Nick Richards(25765160),Cade Cunningham(25764676),Larry Nance Jr.(25765151),Cameron Johnson(25764877),50000.0,251.08
Dennis Smith Jr.(25764943),Buddy Hield(25764804),Saddiq Bey(25764926),Julius Randle(25764662),Myles Turner(25764714),Klay Thompson(25764782),Andrew Wiggins(25764736),Kelly Olynyk(25764826),50000.0,248.21
Cade Cunningham(25764676),Seth Curry(25765220),Desmond Bane(25764651),Aleksej Pokusevski(25765073),Johhny (25764556),Jrue Holiday(25764659),Jaden McDaniels(25765033),Thomas Bryant(25765402),50000.0,252.8
Dejounte Murray(25764598),Josh Giddey(25764683),Jaden McDaniels(25765033),John Collins(25764866),Clint Capela(25764756),Ayo Dosunmu(25765217),Jalen Smith(25764940),Jrue Holiday(25764659),49700.0,245.64
Cole Anthony(25764885),Seth Curry(25765220),Paolo Banchero(25764670),John Collins(25764866),Johhny (25764556),Ayo Dosunmu(25765217),Andrew Wiggins(25764736),Cameron Payne(25764791),50000.0,249.42
Ayo Dosunmu(25765217),OG Anunoby(25764701),Saddiq Bey(25764926),Pascal Siakam(25764586),Aleksej Pokusevski(25765073),Jrue Holiday(25764659),Cameron Johnson(25764877),Cameron Payne(25764791),49500.0,245.29
Immanuel Quickley(25765089),Seth Curry(25765220),Buddy Hield(25764804),Chris Boucher(25765003),Myles Turner(25764714),Tyrese Haliburton(25764595),Julius Randle(25764662),Chris Paul(25764698),49800.0,248.15
Fred VanVleet(25764723),CJ McCollum(25764689),Buddy Hield(25764804),Chris Boucher(25765003),Pascal Siakam(25764586),Ayo Dosunmu(25765217),Larry Nance Jr.(25765151),Cade Cunningham(25764676),50000.0,256.12
Ayo Dosunmu(25765217),Norman Powell(25764904),Jaden McDaniels(25765033),Jalen Smith(25764940),Johhny (25764556),Jrue Holiday(25764659),Cameron Johnson(25764877),Chris Paul(25764698),50000.0,244.1
Fred VanVleet(25764723),Seth Curry(25765220),OG Anunoby(25764701),John Collins(25764866),Clint Capela(25764756),CJ McCollum(25764689),Larry Nance Jr.(25765151),De'Aaron Fox(25764623),50000.0,246.99
Ayo Dosunmu(25765217),Dejounte Murray(25764598),Andrew Wiggins(25764736),Aleksej Pokusevski(25765073),Myles Turner(25764714),Chris Paul(25764698),Jalen Smith(25764940),Mikal Bridges(25764758),50000.0,246.11
Dennis Smith Jr.(25764943),Malcolm Brogdon(25764946),Saddiq Bey(25764926),Chris Boucher(25765003),Nick Richards(25765160),Tyrese Haliburton(25764595),Pascal Siakam(25764586),Chris Paul(25764698),49900.0,251.42
Fred VanVleet(25764723),Jevon Carter(25765133),Buddy Hield(25764804),Larry Nance Jr.(25765151),Johhny (25764556),Jrue Holiday(25764659),Mikal Bridges(25764758),Andre Drummond(25765267),50000.0,255.75
Jalen Brunson(25764726),Seth Curry(25765220),Saddiq Bey(25764926),Chris Boucher(25765003),Jericho Sims(25765427),Shai Gilgeous-Alexander(25764576),Pascal Siakam(25764586),Cameron Payne(25764791),50000.0,244.76
Dennis Smith Jr.(25764943),Immanuel Quickley(25765089),Mikal Bridges(25764758),Chris Boucher(25765003),Myles Turner(25764714),Jalen Brunson(25764726),Julius Randle(25764662),CJ McCollum(25764689),49800.0,252.62
Tyrese Haliburton(25764595),Klay Thompson(25764782),Lauri Markkanen(25764636),Aleksej Pokusevski(25765073),Jonathan Kuminga(25765257),Cameron Payne(25764791),Cameron Johnson(25764877),Mikal Bridges(25764758),50000.0,232.87
Fred VanVleet(25764723),Immanuel Quickley(25765089),Paolo Banchero(25764670),Pascal Siakam(25764586),Nick Richards(25765160),Cameron Payne(25764791),Aleksej Pokusevski(25765073),Myles Turner(25764714),50000.0,252.17
Dejounte Murray(25764598),CJ McCollum(25764689),Saddiq Bey(25764926),Chris Boucher(25765003),Jericho Sims(25765427),Jrue Holiday(25764659),Mikal Bridges(25764758),Cameron Payne(25764791),50000.0,240.88
Dennis Smith Jr.(25764943),Immanuel Quickley(25765089),Buddy Hield(25764804),John Collins(25764866),Clint Capela(25764756),Shai Gilgeous-Alexander(25764576),Larry Nance Jr.(25765151),Lauri Markkanen(25764636),50000.0,251.72
Dennis Smith Jr.(25764943),Cole Anthony(25764885),OG Anunoby(25764701),John Collins(25764866),Johhny (25764556),D'Angelo Russell(25764720),Cameron Johnson(25764877),Thomas Bryant(25765402),50000.0,246.51
CJ McCollum(25764689),Desmond Bane(25764651),Jaden McDaniels(25765033),John Collins(25764866),Clint Capela(25764756),Cameron Payne(25764791),Julius Randle(25764662),Larry Nance Jr.(25765151),49900.0,246.77
Dennis Smith Jr.(25764943),Cole Anthony(25764885),Keegan Murray(25765120),Julius Randle(25764662),Aleksej Pokusevski(25765073),Cade Cunningham(25764676),Mikal Bridges(25764758),Tyrese Haliburton(25764595),50000.0,252.89
